brand,series_l1,subseries,model,name,url,field,value
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Image Sensor","1/2.9\" Progressive Scan CMOS"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Max. Resolution","1920 × 1080"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Min. Illumination","Color: 0.01 Lux @(F2.0, AGC ON), B/W: 0 Lux with IR"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Shutter Time","1/3 s to 1/100,000 s"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Day & Night","IR cut filter"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Angle Adjustment","Pan: 0° to 360°, tilt: 0° to 90°, rotate: 0° to 360°"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Lens Type","Fixed focal lens, 2.8 and 4 mm optional"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Focal Length & FOV","2.8 mm, horizontal FOV 104°, vertical FOV 58°, diagonal FOV 123°\n4 mm, horizontal FOV 81°, vertical FOV 43°, diagonal FOV 96°"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Lens Mount","M12"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Iris Type","Fixed"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Aperture","F2.0"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","DORI","2.8 mm, D: 42 m, O: 16 m, R: 8 m, I: 4 m\n4 mm, D: 57 m, O: 22 m, R: 11 m, I: 5 m"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Supplement Light Type","IR"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Supplement Light Range","Up to 30 m"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Smart Supplement Light","Yes"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","IR Wavelength","850 nm"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Main Stream","50 Hz: 25 fps (1920 × 1080, 1280 × 720)\n60 Hz: 30 fps (1920 × 1080, 1280 × 720)"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Sub-Stream","50 Hz: 25 fps (640 × 480, 640 × 360)\n60 Hz: 30 fps (640 × 480, 640 × 360)"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Video Compression","Main stream: H.265+/H.265/H.264+/H.264\nSub-stream: H.265/H.264/MJPEG"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Video Bit Rate","32 Kbps to 8 Mbps"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","H.264 Type","Baseline Profile/Main Profile/High Profile"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","H.265 Type","Main Profile"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Bit Rate Control","CBR/VBR"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Region Of Interest (ROI)","1 fixed region for main stream"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Security","Password protection, complicated password, watermark, basic and digest authentication for HTTP, WSSE and digest authentication for Open Network Video Interface, security audit log, host authentication (MAC address)"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Simultaneous Live View","Up to 6 channels"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","API","Open Network Video Interface (Profile S, Profile T), ISAPI, SDK"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Protocols","TCP/IP, ICMP, DHCP, DNS, HTTP, RTP, RTSP, NTP, IGMP, IPv6, UDP, QoS, FTP, SMTP"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","User/Host","Up to 32 users\n3 user levels: administrator, operator, and user"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Client","iVMS-4200, HiLookVision"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Web Browser","Plug-in required live view: IE 10, IE 11,\nLocal service: Chrome 57.0+, Firefox 52.0+"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Wide Dynamic Range (WDR)","Digital WDR"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","SNR","≥ 52 dB"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Day/Night Switch","Day, Night, Auto, Schedule"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Image Enhancement","BLC, HLC, 3D DNR"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Image Settings","Rotate mode, saturation, brightness, contrast, sharpness, gain, white balance, adjustable by client software or web browser"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Privacy Mask","4 programmable polygon privacy masks"
"hikvision","HiLook","Value Camera","IPC-B120HA","IPC-B120HA 2 MP MD 2.0 Fixed Bullet Network Camera","https://www.hikvision.com/en/products/HiLook-IP-Products/Network-Cameras/Value-Camera/ipc-b120ha/","Ethernet Interface","1 RJ45 10 M/100 M self-adaptive Ethernet port"
